Home,xG_h,Score,xG_a,Away
Crystal Palace,1.2,0–2,1.0,Arsenal
Fulham,1.2,2–2,1.2,Liverpool
Tottenham,1.5,4–1,0.5,Southampton
Newcastle Utd,1.7,2–0,0.3,Nott'ham Forest
Leeds United,0.8,2–1,1.3,Wolves
Bournemouth,0.6,2–0,0.7,Aston Villa
Everton,0.7,0–1,1.5,Chelsea
Leicester City,0.6,2–2,0.8,Brentford
Manchester Utd,1.4,1–2,1.5,Brighton
West Ham,0.5,0–2,2.2,Manchester City
Aston Villa,2.3,2–1,1.6,Everton
Manchester City,1.7,4–0,0.1,Bournemouth
Southampton,1.2,2–2,1.8,Leeds United
Wolves,0.9,0–0,1.5,Fulham
Arsenal,2.7,4–2,0.5,Leicester City
Brighton,1.5,0–0,0.2,Newcastle Utd
Brentford,1.6,4–0,0.9,Manchester Utd
Nott'ham Forest,1.3,1–0,2.1,West Ham
Chelsea,1.6,2–2,1.0,Tottenham
Liverpool,2.0,1–1,1.0,Crystal Palace
Tottenham,1.7,1–0,0.7,Wolves
Leicester City,0.3,1–2,0.9,Southampton
Everton,1.5,1–1,1.0,Nott'ham Forest
Crystal Palace,2.6,3–1,0.9,Aston Villa
Fulham,2.4,3–2,1.8,Brentford
Bournemouth,0.3,0–3,1.3,Arsenal
Leeds United,2.1,3–0,0.9,Chelsea
West Ham,0.8,0–2,1.7,Brighton
Newcastle Utd,1.8,3–3,2.1,Manchester City
Manchester Utd,1.8,2–1,1.3,Liverpool
Southampton,1.4,0–1,1.1,Manchester Utd
Manchester City,2.2,4–2,0.1,Crystal Palace
Brighton,2.0,1–0,1.8,Leeds United
Chelsea,1.8,2–1,2.5,Leicester City
Brentford,2.1,1–1,1.1,Everton
Liverpool,3.3,9–0,0.3,Bournemouth
Arsenal,2.6,2–1,0.8,Fulham
Wolves,0.7,1–1,1.7,Newcastle Utd
Aston Villa,0.5,0–1,0.6,West Ham
Nott'ham Forest,0.9,0–2,2.4,Tottenham
Fulham,0.7,2–1,1.4,Brighton
Crystal Palace,1.0,1–1,1.4,Brentford
Southampton,1.1,2–1,1.1,Chelsea
Leeds United,1.0,1–1,1.0,Everton
Bournemouth,0.4,0–0,1.5,Wolves
Manchester City,3.3,6–0,0.7,Nott'ham Forest
Arsenal,2.4,2–1,0.4,Aston Villa
West Ham,1.2,1–1,0.6,Tottenham
Liverpool,1.5,2–1,0.7,Newcastle Utd
Leicester City,0.7,0–1,1.5,Manchester Utd
Everton,1.7,0–0,2.1,Liverpool
Nott'ham Forest,1.9,2–3,0.8,Bournemouth
Wolves,0.8,1–0,1.2,Southampton
Newcastle Utd,2.8,0–0,1.0,Crystal Palace
Brentford,2.3,5–2,1.7,Leeds United
Tottenham,2.9,2–1,0.7,Fulham
Chelsea,0.9,2–1,1.1,West Ham
Aston Villa,0.3,1–1,2.1,Manchester City
Brighton,2.6,5–2,1.4,Leicester City
Manchester Utd,1.5,3–1,1.3,Arsenal
Aston Villa,1.5,1–0,0.3,Southampton
Nott'ham Forest,1.4,2–3,0.9,Fulham
Wolves,0.4,0–3,1.1,Manchester City
Newcastle Utd,1.9,1–1,0.7,Bournemouth
Tottenham,2.2,6–2,1.8,Leicester City
Brentford,0.5,0–3,1.5,Arsenal
Everton,0.4,1–0,1.0,West Ham
Arsenal,2.4,3–1,1.6,Tottenham
Southampton,1.7,1–2,2.0,Everton
Crystal Palace,0.4,1–2,1.1,Chelsea
Liverpool,1.5,3–3,1.4,Brighton
Fulham,0.5,1–4,3.3,Newcastle Utd
Bournemouth,0.4,0–0,0.9,Brentford
West Ham,0.9,2–0,0.7,Wolves
Manchester City,3.2,6–3,1.7,Manchester Utd
Leeds United,0.4,0–0,2.2,Aston Villa
Leicester City,1.3,4–0,1.1,Nott'ham Forest
Bournemouth,1.1,2–1,1.0,Leicester City
Newcastle Utd,1.5,5–1,1.2,Brentford
Manchester City,2.4,4–0,0.2,Southampton
Chelsea,1.9,3–0,1.1,Wolves
Brighton,0.7,0–1,0.8,Tottenham
West Ham,2.4,3–1,0.7,Fulham
Crystal Palace,1.1,2–1,1.0,Leeds United
Arsenal,2.7,3–2,1.1,Liverpool
Everton,0.6,1–2,1.4,Manchester Utd
Nott'ham Forest,0.3,1–1,0.7,Aston Villa
Brentford,1.5,2–0,1.9,Brighton
Leicester City,1.0,0–0,0.4,Crystal Palace
Fulham,2.1,2–2,1.0,Bournemouth
Wolves,1.3,1–0,1.5,Nott'ham Forest
Tottenham,2.2,2–0,0.4,Everton
Southampton,0.5,1–1,1.7,West Ham
Aston Villa,1.8,0–2,0.9,Chelsea
Leeds United,1.8,0–1,0.5,Arsenal
Manchester Utd,0.8,0–0,0.8,Newcastle Utd
Liverpool,2.1,1–0,1.0,Manchester City
Brighton,1.7,0–0,0.1,Nott'ham Forest
Crystal Palace,1.2,2–1,0.8,Wolves
Bournemouth,1.0,0–1,1.0,Southampton
Brentford,1.3,0–0,0.9,Chelsea
Liverpool,1.7,1–0,1.7,West Ham
Newcastle Utd,1.5,1–0,0.2,Everton
Manchester Utd,1.5,2–0,0.6,Tottenham
Fulham,2.1,3–0,1.2,Aston Villa
Leicester City,0.8,2–0,1.3,Leeds United
Nott'ham Forest,1.9,1–0,1.6,Liverpool
Everton,1.4,3–0,0.9,Crystal Palace
Manchester City,1.6,3–1,0.5,Brighton
Chelsea,1.1,1–1,0.8,Manchester Utd
Aston Villa,2.8,4–0,0.9,Brentford
Wolves,2.1,0–4,0.9,Leicester City
Leeds United,1.6,2–3,1.8,Fulham
Southampton,0.7,1–1,1.0,Arsenal
Tottenham,1.6,1–2,1.2,Newcastle Utd
West Ham,1.9,2–0,0.4,Bournemouth
Leicester City,0.7,0–1,1.0,Manchester City
Brentford,1.4,1–1,0.6,Wolves
Crystal Palace,0.9,1–0,1.3,Southampton
Newcastle Utd,3.4,4–0,0.4,Aston Villa
Brighton,2.4,4–1,1.4,Chelsea
Bournemouth,0.5,2–3,2.0,Tottenham
Fulham,1.9,0–0,0.9,Everton
Liverpool,1.7,1–2,1.8,Leeds United
Arsenal,2.3,5–0,0.4,Nott'ham Forest
Manchester Utd,1.2,1–0,1.1,West Ham
Nott'ham Forest,1.5,2–2,1.5,Brentford
Leeds United,2.2,4–3,1.5,Bournemouth
Manchester City,2.1,2–1,1.0,Fulham
Wolves,1.2,2–3,1.5,Brighton
Everton,1.2,0–2,2.3,Leicester City
Chelsea,0.3,0–1,2.1,Arsenal
West Ham,0.3,1–2,1.0,Crystal Palace
Southampton,1.7,1–4,0.9,Newcastle Utd
Aston Villa,0.6,3–1,0.5,Manchester Utd
Tottenham,1.2,1–2,1.2,Liverpool
Manchester City,1.6,1–2,1.3,Brentford
Tottenham,1.8,4–3,1.1,Leeds United
Liverpool,1.9,3–1,1.1,Southampton
Bournemouth,2.4,3–0,0.8,Everton
West Ham,1.4,0–2,1.8,Leicester City
Nott'ham Forest,1.1,1–0,1.2,Crystal Palace
Newcastle Utd,1.0,1–0,0.3,Chelsea
Wolves,0.7,0–2,2.1,Arsenal
Brighton,0.6,1–2,1.5,Aston Villa
Fulham,1.4,1–2,2.5,Manchester Utd
Brentford,2.0,2–2,1.1,Tottenham
Southampton,1.9,1–3,0.6,Brighton
Leicester City,0.5,0–3,1.9,Newcastle Utd
Crystal Palace,0.4,0–3,2.5,Fulham
Everton,1.7,1–2,0.8,Wolves
Aston Villa,1.4,1–3,2.7,Liverpool
Arsenal,2.1,3–1,1.0,West Ham
Chelsea,1.8,2–0,0.5,Bournemouth
Manchester Utd,2.4,3–0,0.7,Nott'ham Forest
Leeds United,0.6,1–3,4.3,Manchester City
West Ham,1.3,0–2,1.6,Brentford
Liverpool,2.2,2–1,1.0,Leicester City
Wolves,0.7,0–1,2.0,Manchester Utd
Newcastle Utd,2.2,0–0,0.4,Leeds United
Fulham,1.5,2–1,0.8,Southampton
Manchester City,1.7,1–1,0.1,Everton
Bournemouth,0.6,0–2,1.6,Crystal Palace
Brighton,1.2,2–4,2.9,Arsenal
Tottenham,0.7,0–2,1.0,Aston Villa
Nott'ham Forest,1.4,1–1,0.9,Chelsea
Brentford,1.7,3–1,2.0,Liverpool
Leicester City,1.7,0–1,1.7,Fulham
Everton,1.3,1–4,2.2,Brighton
Arsenal,1.1,0–0,1.0,Newcastle Utd
Manchester Utd,2.2,3–0,0.6,Bournemouth
Southampton,0.5,0–1,1.4,Nott'ham Forest
Leeds United,1.6,2–2,1.4,West Ham
Aston Villa,1.8,1–1,0.9,Wolves
Crystal Palace,0.8,0–4,1.4,Tottenham
Chelsea,0.4,0–1,2.1,Manchester City
Fulham,1.0,2–1,2.1,Chelsea
Aston Villa,1.2,2–1,2.4,Leeds United
Manchester Utd,1.7,2–1,0.6,Manchester City
Everton,1.4,1–2,1.2,Southampton
Wolves,0.9,1–0,1.1,West Ham
Nott'ham Forest,2.4,2–0,1.0,Leicester City
Brighton,1.9,3–0,1.0,Liverpool
Brentford,1.4,2–0,0.6,Bournemouth
Chelsea,1.5,1–0,0.7,Crystal Palace
Newcastle Utd,2.2,1–0,1.1,Fulham
Tottenham,1.6,0–2,1.8,Arsenal
Crystal Palace,0.5,1–1,2.1,Manchester Utd
Manchester City,2.3,4–2,0.8,Tottenham
Liverpool,1.4,0–0,1.6,Chelsea
Bournemouth,1.4,1–1,1.9,Nott'ham Forest
Southampton,0.6,0–1,1.4,Aston Villa
Leicester City,0.9,2–2,1.7,Brighton
West Ham,2.2,2–0,0.5,Everton
Crystal Palace,0.3,0–0,1.2,Newcastle Utd
Manchester City,2.8,3–0,0.8,Wolves
Leeds United,0.5,0–0,0.4,Brentford
Arsenal,3.1,3–2,0.4,Manchester Utd
Fulham,1.0,0–1,0.9,Tottenham
Chelsea,1.3,0–0,0.6,Fulham
Everton,1.7,1–0,0.9,Arsenal
Aston Villa,1.7,2–4,2.6,Leicester City
Wolves,2.0,3–0,1.8,Liverpool
Manchester Utd,2.0,2–1,1.3,Crystal Palace
Brighton,2.2,1–0,1.1,Bournemouth
Brentford,2.2,3–0,0.7,Southampton
Newcastle Utd,1.0,1–1,1.0,West Ham
Nott'ham Forest,0.4,1–0,0.9,Leeds United
Tottenham,1.4,1–0,1.3,Manchester City
Manchester Utd,2.0,2–2,0.6,Leeds United
West Ham,1.3,1–1,1.1,Chelsea
Leicester City,1.7,4–1,1.3,Tottenham
Crystal Palace,1.1,1–1,2.5,Brighton
Arsenal,1.6,1–1,2.0,Brentford
Southampton,1.1,1–2,0.8,Wolves
Fulham,1.5,2–0,0.7,Nott'ham Forest
Bournemouth,1.5,1–1,1.3,Newcastle Utd
Leeds United,1.8,0–2,1.1,Manchester Utd
Manchester City,3.3,3–1,0.3,Aston Villa
Liverpool,2.3,2–0,0.4,Everton
Arsenal,1.6,1–3,1.8,Manchester City
Aston Villa,0.5,2–4,3.2,Arsenal
Brighton,2.2,0–1,0.3,Fulham
Nott'ham Forest,0.9,1–1,2.4,Manchester City
Chelsea,1.6,0–1,0.6,Southampton
Everton,1.4,1–0,0.5,Leeds United
Wolves,1.3,0–1,1.1,Bournemouth
Brentford,0.9,1–1,1.1,Crystal Palace
Newcastle Utd,2.0,0–2,1.9,Liverpool
Manchester Utd,4.4,3–0,1.6,Leicester City
Tottenham,1.5,2–0,0.5,West Ham
Fulham,0.5,1–1,0.8,Wolves
Leicester City,0.0,0–1,0.7,Arsenal
Everton,1.6,0–2,1.9,Aston Villa
West Ham,2.7,4–0,0.4,Nott'ham Forest
Leeds United,0.9,1–0,0.4,Southampton
Bournemouth,1.0,1–4,2.4,Manchester City
Crystal Palace,0.7,0–0,0.9,Liverpool
Tottenham,0.8,2–0,0.4,Chelsea
Arsenal,2.6,4–0,1.2,Everton
Liverpool,2.6,2–0,0.8,Wolves
